domain,task_id,trial,seed,duration_seconds,termination_reason,env_reward,assistant_messages,user_messages,tool_messages,tool_calls,tool_errors,agent_input_tokens,agent_output_tokens,user_input_tokens,user_output_tokens,agent_cost,user_cost
retail,51,0,626729,24.994,user_stop,1.0,9,5,7,7,0,50244,1942,3802,487,0.0013962368,0.0002998464
retail,52,0,626729,59.683,user_stop,1.0,13,8,8,8,0,87282,4601,9129,1790,0.002707376,0.0007958104
retail,53,0,626729,37.042,user_stop,1.0,11,7,7,7,0,65798,2207,6178,1143,0.0016810976,0.0005527424000000001
retail,54,0,626729,40.362,user_stop,1.0,10,4,13,13,1,65582,4429,3489,721,0.0028349888000000004,0.0003742312
retail,55,0,626729,33.361,user_stop,1.0,9,4,13,13,1,55165,2961,3889,992,0.0021421960000000003,0.0004885496000000001
retail,56,0,626729,33.572,user_stop,1.0,12,6,9,9,0,76719,2971,5249,688,0.0019839064,0.000400652
retail,57,0,626729,23.394,user_stop,1.0,7,5,2,2,0,32242,1146,3831,986,0.0006726608,0.00042606480000000003
retail,58,0,626729,43.129,user_stop,1.0,12,7,8,8,0,75709,3902,6494,982,0.0026827192,0.0005343408000000001
retail,59,0,626729,82.35,user_stop,1.0,11,6,6,6,0,65381,4686,8412,4890,0.00212366,0.0017039232000000003
retail,60,0,626729,22.627,user_stop,1.0,7,3,5,5,0,37893,2013,2644,469,0.0012850824,0.0002907408
retail,61,0,626729,32.221,user_stop,1.0,8,4,5,5,0,44422,2664,3516,1091,0.0014682192,0.0004816112
retail,62,0,626729,33.212,user_stop,1.0,9,5,6,6,0,51579,2332,4909,1119,0.0016747752,0.0005264168000000001
retail,63,0,626729,63.716,user_stop,0.0,12,7,7,7,0,73997,5200,7186,2097,0.0026308632000000003,0.0008380512
retail,64,0,626729,32.495,user_stop,1.0,10,5,7,7,0,57808,2805,3847,584,0.001678264,0.0002981832
retail,65,0,626729,52.046,user_stop,1.0,12,6,8,8,0,68907,3748,5395,1384,0.0020034280000000002,0.0006159720000000001
retail,66,0,626729,33.617,user_stop,1.0,12,8,5,5,0,65104,2291,6976,737,0.0013615952,0.0004102896
retail,67,0,626729,39.308,user_stop,1.0,12,7,7,7,2,62241,2637,5641,927,0.0015142568000000001,0.0004697672
retail,68,0,626729,22.75,user_stop,1.0,10,6,6,6,1,50331,1345,4068,561,0.0010305176,0.00028756
retail,69,0,626729,22.428,user_stop,1.0,8,4,6,6,0,41158,1487,2960,589,0.0010153696000000001,0.000315896
retail,70,0,626729,25.765,user_stop,1.0,9,4,8,8,0,54511,2043,3122,563,0.0017409112,0.0003137344
retail,71,0,626729,81.928,user_stop,1.0,13,7,10,10,0,95294,8128,9389,1708,0.0038682896,0.0008092504
retail,72,0,626729,61.922,user_stop,1.0,12,6,10,10,0,87063,6064,7192,1195,0.0032092872000000004,0.0006214544
retail,73,0,626729,17.27,user_stop,1.0,8,4,4,4,0,39216,1119,2562,468,0.0008160656,0.0002614192
retail,74,0,626729,51.39,user_stop,1.0,12,6,9,9,0,83431,4808,5899,861,0.00292866,0.00048740720000000005
retail,75,0,626729,31.221,user_stop,1.0,11,6,5,5,0,60500,2188,4953,910,0.0014257824000000001,0.0004740568
retail,76,0,626729,42.831,user_stop,1.0,9,4,11,11,0,60430,4221,4018,851,0.0026350016000000007,0.0004320064
retail,77,0,626729,0.0,infrastructure_error,,0,0,0,0,0,0,0,0,0,,
retail,78,0,626729,38.791,user_stop,1.0,8,4,9,9,0,47532,3811,3753,858,0.0020316016,0.0004319896
retail,79,0,626729,40.95,user_stop,1.0,8,3,7,7,0,48998,3071,2814,1759,0.001924272,0.0006581792
retail,80,0,626729,67.275,user_stop,1.0,11,7,5,5,0,68760,4319,11006,2455,0.0022129744,0.0011394208
retail,81,0,626729,31.337,user_stop,1.0,9,5,8,8,0,51602,2482,4085,589,0.0016497487999999998,0.0003329032
retail,82,0,626729,53.499,user_stop,1.0,11,7,7,7,0,68955,4121,7680,1352,0.002290204,0.0006634880000000001
retail,83,0,626729,36.406,user_stop,1.0,9,5,7,7,0,51448,3031,4251,802,0.0017467856000000005,0.0003982216
retail,84,0,626729,34.208,user_stop,1.0,10,6,7,7,0,56446,2288,4536,864,0.0015711248000000002,0.00042035840000000004
retail,85,0,626729,29.909,user_stop,1.0,10,5,10,10,0,61088,2210,3552,619,0.0017601248,0.00030180640000000003
retail,86,0,626729,42.811,user_stop,1.0,11,5,10,10,0,68830,3924,3749,845,0.0021648592000000004,0.000410228
retail,87,0,626729,34.872,user_stop,1.0,12,5,11,11,0,78026,3254,3487,491,0.0019827024,0.00029198960000000003
retail,88,0,626729,24.385,user_stop,1.0,9,4,6,6,0,49402,1590,2772,546,0.0013027280000000002,0.00027753600000000005
retail,89,0,626729,33.256,user_stop,1.0,11,5,7,7,0,66649,2253,3803,753,0.0017779944000000001,0.00037446640000000003
retail,90,0,626729,36.033,user_stop,1.0,11,6,8,8,0,67573,2608,5280,909,0.0018487,0.00046687199999999996
retail,91,0,626729,57.263,user_stop,1.0,11,6,8,8,0,68727,4953,6773,1497,0.0025088055999999996,0.0007176008
retail,92,0,626729,33.791,user_stop,1.0,9,5,7,7,0,48966,2324,3808,1030,0.0014998928000000001,0.0004527264
retail,93,0,626729,39.312,user_stop,1.0,11,6,7,7,0,71592,3315,5488,800,0.002258088,0.000465472
retail,94,0,626729,36.61,user_stop,1.0,11,6,7,7,0,71817,2376,5290,1238,0.002114476,0.0005428304
retail,95,0,626729,56.488,user_stop,0.0,12,6,10,10,0,84282,5088,5997,1310,0.002774968,0.0005917240000000001
retail,96,0,626729,51.716,user_stop,1.0,11,5,7,7,0,71323,4568,5183,1289,0.0023605288,0.0006123768
retail,97,0,626729,73.434,user_stop,1.0,12,6,7,7,0,81544,7151,6691,1360,0.0031449040000000004,0.0006501992
retail,98,0,626729,71.032,user_stop,0.0,11,4,12,12,0,91585,7630,4464,1554,0.0038944920000000003,0.0006737248000000001
retail,99,0,626729,63.133,user_stop,1.0,10,5,11,11,0,69249,6013,6120,1837,0.0033352872,0.0008091888000000001
retail,100,0,626729,58.993,user_stop,1.0,10,5,14,14,0,71530,5736,5642,1416,0.0032433968,0.0006419504
retail,101,0,626729,60.025,user_stop,1.0,14,6,10,10,0,97729,5488,5954,1444,0.0030485112000000003,0.0006583472000000001
retail,102,0,626729,57.997,user_stop,1.0,14,8,10,10,0,98553,5224,8799,933,0.0030723896000000007,0.000527212
retail,103,0,626729,84.724,user_stop,1.0,14,8,12,12,0,108314,7651,9114,2049,0.004047232,0.0008837920000000001
retail,104,0,626729,95.644,user_stop,1.0,13,7,14,14,0,107014,10515,8903,1403,0.0049130143999999995,0.0007260568000000002
retail,105,0,626729,65.446,user_stop,0.0,14,9,6,6,0,88885,4795,12662,1969,0.0025295143999999998,0.0009366336000000002
retail,106,0,626729,31.908,user_stop,1.0,11,5,8,8,1,63034,1956,3589,881,0.0016277744000000004,0.00039790800000000004
retail,107,0,626729,77.344,user_stop,0.0,11,5,10,10,0,77859,7601,5430,1396,0.0038087,0.0006417936
retail,108,0,626729,30.877,user_stop,1.0,10,6,6,6,0,55396,2691,5026,588,0.0015896496,0.0003589936
retail,109,0,626729,68.48,user_stop,1.0,12,5,8,8,0,82024,7407,5185,1187,0.0031784144,0.0005665352
retail,110,0,626729,82.956,user_stop,0.0,10,5,8,8,0,62448,7392,5403,2484,0.0031204992000000006,0.0009602152000000001
retail,111,0,626729,92.773,user_stop,1.0,12,6,11,11,0,91121,8907,7337,1605,0.0042046536,0.0007916776
retail,112,0,626729,112.603,user_stop,1.0,14,7,12,12,0,109635,11868,7774,1642,0.005114384800000002,0.0007754096000000001
retail,113,0,626729,23.987,user_stop,1.0,9,5,8,8,0,48462,1319,3319,495,0.0012181792000000003,0.0002695896
airline,0,0,626729,34.346,user_stop,1.0,8,6,4,4,0,40339,2116,4491,1108,0.0010241448000000001,0.0004823784
airline,1,0,626729,46.927,user_stop,1.0,9,5,10,10,0,55775,3458,3964,1625,0.0018750312000000002,0.0006236048000000001
airline,2,0,626729,93.389,user_stop,1.0,12,7,32,32,0,238589,9421,7604,2075,0.010224787999999999,0.0008201648
airline,3,0,626729,50.15,user_stop,1.0,6,4,3,3,0,31871,4772,3049,461,0.0016886856,0.0002573928
airline,4,0,626729,57.631,user_stop,1.0,10,6,18,18,0,65705,4404,5128,1143,0.0022305528,0.0005286736000000001
airline,5,0,626729,73.447,user_stop,1.0,11,7,7,7,0,70980,4321,7928,2490,0.0021731024000000007,0.0009641632
airline,6,0,626729,58.163,user_stop,1.0,9,7,5,5,0,51069,3123,7352,1450,0.0016668008000000002,0.0006801312
airline,7,0,626729,88.71,user_stop,1.0,12,6,16,16,0,94874,7333,6040,2147,0.0037976288,0.0008321040000000001
airline,8,0,626729,49.942,user_stop,1.0,9,5,8,8,0,56103,3572,5286,1327,0.0019879944,0.0006023135999999999
airline,9,0,626729,61.52,user_stop,1.0,7,4,10,10,0,42152,6055,3391,1149,0.0023457616000000002,0.0004979128
airline,10,0,626729,136.307,user_stop,1.0,11,7,10,10,0,83114,11354,10177,2931,0.004717160000000001,0.0011917639999999999
airline,11,0,626729,61.648,user_stop,1.0,8,5,5,5,0,43491,4602,4277,1677,0.0019507656000000001,0.0006293
airline,12,0,626729,76.815,user_stop,1.0,9,6,5,5,0,53317,6584,5786,1443,0.0025818072,0.0006345472
airline,13,0,626729,17.272,user_stop,1.0,4,3,1,1,0,15493,701,2002,626,0.0002930312,0.0002623824
airline,14,0,626729,121.609,user_stop,1.0,10,6,8,8,0,72810,13595,7510,2148,0.0056758016000000005,0.0009328144
airline,15,0,626729,62.594,user_stop,1.0,9,5,6,6,0,60850,5444,4406,1206,0.0029133104,0.0005506032000000001
airline,16,0,626729,52.4,user_stop,1.0,9,5,6,6,0,59317,4811,4055,781,0.0026970664000000007,0.00036490160000000004
airline,17,0,626729,100.982,user_stop,1.0,9,5,11,11,0,68478,11827,4216,815,0.0051011296,0.0004320848
airline,18,0,626729,101.96,user_stop,1.0,10,6,13,13,0,82190,10736,7024,1182,0.0046430608,0.0006469792000000001
airline,19,0,626729,26.148,user_stop,1.0,8,5,5,5,0,42379,1870,4121,509,0.0011530568,0.0003155432
airline,20,0,626729,69.631,user_stop,1.0,11,8,9,9,0,97943,6587,10632,1849,0.004211586400000001,0.0008998192
airline,21,0,626729,68.197,user_stop,0.0,9,5,12,12,0,66888,7980,5152,993,0.003871616,0.0005075952000000001
airline,22,0,626729,75.38,user_stop,1.0,10,6,9,9,0,73585,8089,5202,828,0.0040670056000000005,0.0004508336000000001
airline,23,0,626729,121.029,user_stop,0.0,13,8,8,8,0,101347,11327,10654,3266,0.0051899512,0.0013172208
airline,24,0,626729,68.28,user_stop,1.0,10,5,18,18,0,67723,7287,5654,1313,0.0032500664,0.0006499136
airline,25,0,626729,47.266,user_stop,1.0,10,6,4,4,0,61248,4057,5781,1148,0.0022294384,0.0005336856000000001
airline,26,0,626729,26.166,user_stop,1.0,8,5,4,4,0,41267,2131,3176,502,0.0010704568,0.0002690912
airline,27,0,626729,33.568,user_stop,1.0,8,5,12,12,0,52074,2771,3714,881,0.0019723648,0.00039784640000000007
airline,28,0,626729,39.407,user_stop,1.0,6,4,3,3,0,30907,3792,2771,688,0.0014198184000000003,0.0003347176
airline,29,0,626729,29.04,user_stop,0.0,6,4,3,3,0,28587,2144,3398,765,0.0009848104,0.00037381120000000006
airline,30,0,626729,1.098,user_stop,0.0,1,1,0,0,0,0,0,536,63,0.0,5.7556800000000004e-05
airline,31,0,626729,26.228,user_stop,1.0,8,6,4,4,0,41914,1144,4672,1000,0.0008846768000000001,0.00045991680000000005
airline,32,0,626729,89.081,user_stop,0.0,10,6,9,9,0,68333,7130,6265,2625,0.0032563832,0.0009623208000000001
airline,33,0,626729,125.463,user_stop,0.0,13,9,6,6,0,87229,13203,14752,1895,0.004809968800000001,0.000927528
airline,34,0,626729,105.993,user_stop,1.0,8,5,7,7,0,48685,11322,6110,1328,0.004138047200000001,0.0006301456000000001
airline,35,0,626729,68.336,user_stop,1.0,12,8,8,8,0,83770,5221,9545,1891,0.0029512672,0.0008472072000000001
airline,36,0,626729,30.458,user_stop,1.0,6,5,2,2,0,28488,1859,3754,737,0.0009087120000000001,0.0003631264
airline,37,0,626729,94.725,user_stop,1.0,9,4,14,14,0,71592,10296,3199,1263,0.003966905600000001,0.0005029528
airline,38,0,626729,61.896,user_stop,1.0,9,5,12,12,0,52116,6228,3837,694,0.0024369184000000003,0.00031002160000000005
airline,39,0,626729,75.697,user_stop,0.0,10,6,11,11,0,71432,6462,6707,1737,0.003116848,0.0007755608000000001
airline,40,0,626729,18.226,user_stop,1.0,7,5,3,3,0,33813,921,3246,361,0.0006539848000000001,0.000204288
airline,41,0,626729,45.704,user_stop,1.0,9,6,9,9,0,57373,3978,4397,661,0.0021741048000000003,0.00034405840000000003
airline,42,0,626729,97.68,user_stop,0.0,11,7,21,21,0,82473,8179,9635,2705,0.0038964744,0.0011404120000000002
airline,43,0,626729,45.478,user_stop,1.0,10,6,10,10,0,63783,4004,5767,652,0.0020777736,0.00039284560000000005
airline,44,0,626729,114.655,user_stop,0.0,10,5,25,25,0,81963,11651,5994,2812,0.005236274400000001,0.0010469872000000002
airline,45,0,626729,82.137,user_stop,1.0,10,7,5,5,0,58594,5347,8068,2783,0.0021137088000000004,0.0010482415999999999
airline,46,0,626729,10.639,user_stop,1.0,3,2,1,1,0,10728,686,1039,407,0.0002539488,0.00017161200000000002
airline,47,0,626729,42.192,user_stop,1.0,8,6,3,3,0,41389,2713,5450,1238,0.0012329352,0.0005652303999999999
airline,48,0,626729,37.976,user_stop,1.0,8,5,5,5,0,42263,2488,3889,1101,0.0011518023999999999,0.0004663848
airline,49,0,626729,41.797,user_stop,1.0,9,5,6,6,0,49945,3492,3873,608,0.0015776376,0.00034366640000000004
